epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,6344.08,1.17033,0.89913,1.23057,0.64333,0.58152,0.56944,0.33094,1.38331,1.1864,1.21267,0.0010793,0.0010793,0.0010793
95,6416.4,1.17136,0.88882,1.21846,0.60494,0.70739,0.61897,0.35335,1.33769,1.17261,1.1982,0.0010694,0.0010694,0.0010694
96,6482.47,1.15883,0.88406,1.22569,0.59186,0.65217,0.59627,0.36578,1.3642,1.22417,1.23086,0.0010595,0.0010595,0.0010595
97,6550.07,1.16964,0.89271,1.2365,0.62361,0.65761,0.6095,0.34193,1.4514,1.17631,1.25487,0.0010496,0.0010496,0.0010496
98,6617.82,1.16632,0.88546,1.2176,0.64014,0.69608,0.63379,0.38265,1.31712,1.12171,1.20351,0.0010397,0.0010397,0.0010397
99,6684.39,1.16435,0.87771,1.22952,0.65746,0.71977,0.65736,0.37593,1.41987,1.15571,1.25926,0.0010298,0.0010298,0.0010298
100,6750.54,1.15576,0.8929,1.22421,0.67134,0.68478,0.63995,0.37042,1.40108,1.13318,1.21264,0.0010199,0.0010199,0.0010199
101,6818.6,1.16135,0.88452,1.23168,0.644,0.61413,0.60227,0.34502,1.43745,1.18802,1.2356,0.00101,0.00101,0.00101
102,6886.97,1.17662,0.88662,1.22201,0.56154,0.66848,0.6072,0.36666,1.35699,1.11388,1.23027,0.0010001,0.0010001,0.0010001
103,6954.55,1.13258,0.87403,1.21677,0.55968,0.71843,0.61697,0.38963,1.32185,1.15501,1.18828,0.0009902,0.0009902,0.0009902
104,7031.68,1.16259,0.88095,1.23758,0.59015,0.63587,0.60815,0.37185,1.36299,1.18812,1.22183,0.0009803,0.0009803,0.0009803
105,7101.27,1.15874,0.91088,1.23888,0.63617,0.71196,0.64582,0.39335,1.34441,1.09064,1.19898,0.0009704,0.0009704,0.0009704
106,7180.44,1.13636,0.84765,1.20858,0.67767,0.67391,0.66449,0.40533,1.33548,1.1039,1.2157,0.0009605,0.0009605,0.0009605
107,7259.13,1.14312,0.83574,1.21366,0.62207,0.70652,0.62528,0.36207,1.38216,1.14815,1.2209,0.0009506,0.0009506,0.0009506
108,7325.77,1.15518,0.86946,1.21415,0.60069,0.64674,0.59053,0.35683,1.33919,1.12937,1.21802,0.0009407,0.0009407,0.0009407
109,7393.83,1.1495,0.84908,1.20566,0.65377,0.68478,0.6525,0.3904,1.31493,1.13453,1.18857,0.0009308,0.0009308,0.0009308
110,7463.07,1.14779,0.85934,1.22417,0.62695,0.66848,0.62295,0.37607,1.3325,1.11049,1.18375,0.0009209,0.0009209,0.0009209
111,7531.02,1.12072,0.83913,1.19675,0.62959,0.64664,0.634,0.3793,1.33513,1.10954,1.20932,0.000911,0.000911,0.000911
112,7597.8,1.10859,0.83194,1.18914,0.60756,0.67935,0.60214,0.36427,1.38458,1.15009,1.23757,0.0009011,0.0009011,0.0009011
113,7665.16,1.11068,0.82825,1.19559,0.63597,0.70109,0.65844,0.38419,1.39617,1.14086,1.23793,0.0008912,0.0008912,0.0008912
